event,formula,a,b,c
TRACK_50,hungarian_track,33.0462434523,-12.0979307449,-0.2321096149
TRACK_50H,hungarian_track,16.2126653261,-15.2953835346,-0.1053761359
TRACK_55,hungarian_track,27.6922288869,-13.1481380284,-0.3043705117
TRACK_55H,hungarian_track,13.1982215478,-16.7954274775,-0.0911772754
TRACK_60,hungarian_track,24.9117754427,-13.9976515376,-0.2293776923
TRACK_60H,hungarian_track,11.168281889,-18.1940019446,0
TRACK_200,hungarian_track,1.9616411646,-47.4976950867,-0.0697455752
TRACK_300,hungarian_track,0.6595165231,-78.9940494903,0
TRACK_400,hungarian_track,0.322396617,-111.9954899416,-0.0058333313
TRACK_500,hungarian_track,0.1713990152,-150.4950203151,0
TRACK_600,hungarian_track,0.106301322,-190.3440098081,0
TRACK_800,hungarian_track,0.0572001165,-263.9946646628,0
TRACK_1000,hungarian_track,0.0347303143,-340.3940084944,0
TRACK_1500,hungarian_track,0.0136499412,-539.9956644344,-0.0008961974
TRACK_1MILE,hungarian_track,0.0115400273,-585.4943375501,0
TRACK_2000,hungarian_track,0.0068499998,-752.1949210708,0
TRACK_3000,hungarian_track,0.0025900009,-1199.9946258953,0
TRACK_2MILES,hungarian_track,0.0022019898,-1296.2971509252,-0.0015550154
TRACK_5000,hungarian_track,0.0008250002,-2099.9945836524,0
TRACK_4x200,hungarian_track,0.0825999218,-211.9949807338,0
TRACK_4x400,hungarian_track,0.0155000012,-483.9954080687,-0.0021634214
HIGH_JUMP,hungarian_field,39.5579087445,10.5082093421,-4969.5880642855
LONG_JUMP,hungarian_field,1.9581140326,49.4597044183,-5024.0505434215
TRIPLE_JUMP,hungarian_field,0.4296645887,105.1320544518,-4980.6423815636
POLE_VAULT,hungarian_field,3.9325797501,35.0265857026,-5029.8531935972
SHOT_PUT,hungarian_field,0.0462143876,657.3172794694,-19993.5978247992
PENTATHLON,hungarian_field,0.0000029452,41021.7737084897,-4998.598372733
